id,trust_value,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
Route41053.0,0.8333333333329997,9,0,6,15,26,3,-0.2722074211540951,0.8910910518053374,0.8094093406593406,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
RouteSet9042.1,0.6,6,0,3,9,15,2,-0.4129737962084019,0.8796296296296297,0.8472222222222222,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building19305.0,0.428571428571,6,0,4,10,13,2,-0.52704627669473,0.9012345679012346,0.8222222222222222,1.0,0,1,1,0,1,0,0,0,0,0,1,3.198760068515196
Building1136.0,0.428571428571,6,0,4,10,13,2,-0.52704627669473,0.9012345679012346,0.8222222222222222,1.0,0,1,1,0,1,0,0,0,0,0,1,3.198760068515196
Building24156.0,0.8333333333329997,9,0,5,14,24,3,-0.3639372626234195,0.8380341880341882,0.7576388888888889,0.9666666666666666,0,2,2,0,2,2,0,0,0,0,2,-1.0
RouteSet11560.1,0.8333333333329997,5,0,4,9,12,2,-0.5000000000000001,0.9047619047619048,0.8285714285714285,1.0,0,1,1,0,1,0,0,0,0,0,1,3.263904326937052
Building3608.0,0.5,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777777,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet4742.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
RouteSet3070.1,0.875,7,0,6,13,18,2,-0.5,0.9300699300699301,0.8701298701298701,1.0,0,1,1,0,1,0,0,0,0,0,1,3.3501225559829577
Building10657.0,0.8333333333329997,31,0,16,47,109,4,-0.0038603317954979993,0.815498826975809,0.7907489950137008,0.8619047619047621,0,3,3,0,3,3,0,0,0,0,3,-1.0
Route31087.0,0.8,7,0,4,11,18,3,-0.2668800507329065,0.8622222222222223,0.7703703703703703,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route29910.0,0.875,19,0,11,30,64,3,-0.16066248093670316,0.8439744365334201,0.8245514070075473,0.8757575757575757,0,2,2,0,2,2,0,0,0,0,2,-1.0
Route43377.0,0.8333333333329997,12,0,6,18,32,3,-0.20392509677383266,0.8497899159663865,0.8587662337662337,0.8333333333333334,0,2,1,0,2,0,0,0,0,0,2,-1.0
Route30475.0,0.6,11,0,4,15,31,3,-0.1715264652141954,0.7592403628117914,0.7529365079365079,0.775,0,2,2,0,2,2,0,0,0,0,2,-1.0
Building23302.0,0.4,4,0,2,6,7,2,-0.547722557505166,0.8400000000000001,0.7333333333333334,1.0,0,1,1,0,1,0,0,0,0,0,1,3.123411762307297
Building4924.0,0.75,3,0,1,4,4,2,-0.5773502691896258,0.7777777777777778,0.6666666666666666,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Building31989.0,0.8333333333329997,7,0,3,10,16,2,-0.4646766902382152,0.8734567901234569,0.8379629629629631,0.9444444444444444,0,1,1,0,1,0,0,0,0,0,1,-1.0
RouteSet8146.1,0.75,3,0,2,5,6,2,-0.5,0.8666666666666666,0.7777777777777777,1.0,0,1,1,0,1,0,0,0,0,0,1,-1.0
Route18906.0,0.8571428571430002,10,0,7,17,31,3,-0.2757166622743848,0.9005952380952381,0.8232804232804233,1.0,0,2,1,0,2,0,0,0,0,0,2,-1.0
