label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
u_3,17,5,9,31,49,6,-0.19636193740139085,0.4447089947089947,0.4666666666666667,0.45238095238095244,0.2,7,5,8,4,2,5,0,0,0,3,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,5,0,3,8,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,8,0,3,11,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,7,0,2,9,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
u_2,3,1,2,6,10,2,-0.27216552697590862,0.8055555555555555,0.8333333333333334,0.8333333333333333,0.6666666666666666,2,2,1,2,2,1,0,0,0,2,-1
u_1,25,8,2,35,48,-1,-0.65250452421697569,0,0,0,0,2,3,3,1,2,2,0,0,0,-1,-1
u_2,0,1,1,2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1
u_2,2,4,5,11,13,-1,-0.14085904245475273,0.419047619047619,0.8333333333333333,0.25555555555555554,0.25,0,1,2,1,2,1,0,0,0,-1,-1
u_2,2,4,3,9,12,3,-0.12598815766974239,0.41666666666666663,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,1,2,1,2,1,0,0,0,-1,-1
u_2,3,5,2,10,2,-1,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1
u_2,4,2,3,9,12,4,-0.099999999999999922,0.6111111111111112,0.5,0.5833333333333334,1.0,2,2,2,1,0,1,0,0,0,2,-1
u_2,2,4,3,9,12,3,-0.12598815766974239,0.41666666666666663,0.6666666666666666,0.3333333333333333,0.3333333333333333,0,1,2,1,2,1,0,0,0,-1,-1
u_2,0,3,3,6,6,4,0.0,0.5555555555555555,0,1.0,0.3333333333333333,0,0,0,0,2,3,0,2,3,-1,-1
u_2,2,5,4,11,17,3,-0.18545140092942428,0.7372294372294372,0.22142857142857142,0.75,0.9333333333333332,2,3,3,1,2,2,0,0,0,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
u_2,0,2,1,3,2,2,-1,0,0,0,0,0,0,0,0,0,1,0,1,2,-1,-1
