,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,186,7,21,214,469,7,0.012151961226955119,0.4883483822717082,0.4455325140809014,1.0,0.09107231244254839,34,22,19,34,22,19,0,0,0,37,2.924959789387999
20,commissives,183,7,20,210,461,7,0.007546476489698956,0.4873857059551903,0.4464610981004426,1.0,0.09265961402984997,33,22,19,33,22,19,0,0,0,37,2.8586417488946947
23,assertives,216,7,23,246,543,7,-0.001549510073457656,0.48904979615763305,0.44782848324515034,1.0,0.08218535340361366,38,26,22,38,26,19,0,0,0,46,2.8678876329988983
25,instruction,220,7,24,251,553,7,0.0025906377620426146,0.48975170687731595,0.44711038961039007,1.0,0.08048467313150483,38,26,22,38,26,19,0,0,0,46,2.891160538635282
24,instruction,219,7,24,250,551,7,0.002284174578065592,0.4898585397917818,0.44702109154163994,1.0,0.08100227147519012,38,26,22,38,26,19,0,0,0,46,2.9280975824326663
27,assertives,248,7,27,282,626,7,0.006797254780348765,0.48531941826638963,0.44085061443932433,1.0,0.07558908145276787,42,30,23,42,30,23,0,0,0,48,-1.0
26,requests,236,7,26,269,595,7,0.009024808281008328,0.4872561011283962,0.4429277643260696,1.0,0.07727697465516159,41,29,22,41,29,22,0,0,0,46,2.9619696444761185
29,assertives,256,7,29,292,647,7,0.008541504491956741,0.48566177128639576,0.43866257440476214,1.0,0.07365973828693008,44,32,25,44,32,25,0,0,0,50,-1.0
28,assertives,250,7,27,284,630,7,0.0033207111954009134,0.48659087550774316,0.4426571428571431,1.0,0.07536041855903894,44,32,25,44,32,25,0,0,0,50,-1.0
14,assertives,127,7,14,148,316,7,0.023363393213017825,0.49223158598158623,0.4552118485189352,1.0,0.14833856619570907,27,17,16,27,17,16,0,0,0,23,-1.0
15,assertives,136,7,15,158,341,7,0.024155301120708232,0.487210626925817,0.44847689075630265,1.0,0.14091741591741594,27,17,16,27,17,16,0,0,0,23,-1.0
16,instruction,139,7,16,162,349,7,0.03040967771355209,0.488634359467693,0.44743062692702995,1.0,0.13798701298701296,28,17,16,28,17,16,0,0,0,23,-1.0
17,requests,145,7,17,169,365,7,0.03192381246117013,0.4870477223925502,0.44385878489326774,1.0,0.13593446783101953,30,19,18,30,19,18,0,0,0,28,2.983396202116559
10,requests,86,6,10,102,209,7,0.010145238816069883,0.5086834733893559,0.47297895902547066,1.0,0.20158730158730157,23,14,13,23,14,13,0,0,0,19,-1.0
11,instruction,91,6,11,108,223,7,0.009695405548508104,0.5035714285714287,0.46493982208267925,1.0,0.17936507936507937,23,14,13,23,14,13,0,0,0,19,-1.0
12,commissives,98,6,12,116,243,7,0.01688361382420916,0.49578201970443364,0.454178814382896,1.0,0.16686507936507936,24,14,13,24,14,13,0,0,0,19,-1.0
13,requests,123,7,13,143,305,7,0.018690714061710308,0.4932151182151184,0.45890437475803336,1.0,0.15493197278911566,27,17,16,27,17,16,0,0,0,23,-1.0
18,instruction,148,7,18,173,373,7,0.03740323116065596,0.488412594276481,0.4429697554697556,1.0,0.13369357147247612,30,19,18,30,19,18,0,0,0,28,2.994021071723725
19,instruction,149,7,18,174,375,7,0.03782420272439301,0.4882500547631347,0.44312879514221815,1.0,0.13275986465641637,31,20,19,31,20,19,0,0,0,28,2.9408600908361286
74,requests,741,7,74,822,1882,7,0.004975179291885527,0.4809790465298168,0.4334072360388149,1.0,0.03000204896399124,114,76,63,114,76,63,0,0,0,145,4.3145502732610534
75,requests,748,7,75,830,1900,7,0.00518430724278228,0.48084027812989294,0.4330054749172395,1.0,0.029905087102323497,116,78,65,116,78,65,0,0,0,145,4.322898767671351
72,assertives,626,7,72,705,1590,7,0.018411119380873305,0.48636789804799174,0.432355849688118,1.0,0.03351517415318412,112,74,61,112,74,61,0,0,0,129,3.161691393190686
73,requests,705,7,73,785,1786,7,0.0024651827098169606,0.48408533544280063,0.4351604187774398,1.0,0.03127044064334183,114,76,63,114,76,63,0,0,0,145,3.175262904216173
70,instruction,589,7,59,655,1490,7,0.0010526935501151188,0.48584221657017246,0.43970814132104435,1.0,0.03407951648115168,109,71,58,109,71,58,0,0,0,110,3.1621226601250183
71,requests,623,7,71,701,1582,7,0.017403730696137994,0.4860535206138793,0.4325651608958189,1.0,0.03363181603345123,112,74,61,112,74,61,0,0,0,129,3.1611042890836325
6,assertives,29,4,6,39,70,7,0.01246882736535268,0.5410256410256411,0.4620689655172413,1.0,0.425,10,9,9,10,9,9,0,0,0,9,-1.0
7,instruction,32,4,7,43,78,7,0.017566779115143715,0.5372093023255814,0.45520833333333327,1.0,0.3833333333333333,12,9,9,12,9,9,0,0,0,9,-1.0
5,instruction,17,3,4,24,40,7,-0.12487810821089257,0.5694444444444444,0.48039215686274506,1.0,0.49999999999999994,7,6,6,7,6,6,0,0,0,5,-1.0
8,requests,44,4,8,56,108,6,0.01225751980403028,0.5156462585034014,0.45151515151515154,1.0,0.2523809523809524,13,10,9,13,10,9,0,0,0,13,-1.0
9,requests,65,5,9,79,158,7,0.007286107962585995,0.5127787823990356,0.46769230769230774,1.0,0.22190476190476188,20,13,12,20,13,12,0,0,0,19,-1.0
69,instruction,588,7,59,654,1488,7,0.001257419430839336,0.4855663783551311,0.4393221574344022,1.0,0.034140410403938184,108,70,57,108,70,57,0,0,0,110,3.1600132160672216
68,instruction,587,7,59,653,1486,7,0.001439036793719475,0.48528971479196303,0.4389348584408207,1.0,0.0342031220557631,107,69,56,107,69,56,0,0,0,110,3.1579024336695496
65,assertives,584,7,59,650,1480,7,0.0018427978551619883,0.48445474309674347,0.4377650032615785,1.0,0.03440301544595499,104,66,53,104,66,53,0,0,0,110,3.1515625043943176
64,instruction,583,7,59,649,1478,7,0.0019295672677574387,0.4841747494267529,0.43737237605162116,1.0,0.03447387712395953,103,65,52,103,65,52,0,0,0,110,3.1494468285818833
66,instruction,585,7,59,651,1482,7,0.001731964768045994,0.48473390001585126,0.43815628815628793,1.0,0.03433433412727367,105,67,54,105,67,54,0,0,0,110,3.1536770306994217
61,instruction,580,7,59,646,1472,7,0.0020432587100288595,0.4833297208661765,0.4361863711001641,1.0,0.03470063449357404,100,62,50,100,62,49,0,0,0,110,3.143093455623548
60,instruction,579,7,59,645,1470,7,0.0020315631552535783,0.48304635346455,0.4357883049592893,1.0,0.03478134474377582,99,61,50,99,61,49,0,0,0,110,3.140973748734495
62,instruction,581,7,59,647,1474,7,0.0020300162313771465,0.48361224095537747,0.43658306696172433,1.0,0.034622570481083796,101,63,50,101,63,50,0,0,0,110,3.1452122460398044
52,instruction,460,7,52,519,1174,7,0.02306592748484294,0.47869064691056157,0.4263198757763973,1.0,0.04761469849122937,68,56,49,68,56,49,0,0,0,94,4.165329759152977
57,assertives,558,7,54,619,1416,7,-0.002893761727026283,0.4822335725551827,0.43773254821641916,1.0,0.03540278669948565,96,58,49,96,58,49,0,0,0,110,3.1347363457746966
58,requests,575,7,58,640,1460,7,0.0004894986106988039,0.4827084072373921,0.4359792960662525,1.0,0.03504077054799581,99,61,50,99,61,49,0,0,0,110,3.1386777201668457
59,instruction,578,7,59,644,1468,7,0.0019947228733415826,0.48307269529736646,0.4357348821881693,1.0,0.034864838106053515,99,61,50,99,61,49,0,0,0,110,3.139364116636507
50,assertives,429,7,50,486,1095,7,0.03446637788678536,0.47952942808392757,0.4258907758907759,1.0,0.049165598806562676,65,53,46,65,53,46,0,0,0,78,3.074587745172053
51,requests,455,7,51,513,1160,7,0.02243792654582105,0.4792276476643203,0.4274882260596544,1.0,0.04809148495049393,68,56,49,68,56,49,0,0,0,94,4.16607939700765
53,requests,552,7,53,612,1402,7,-0.00488489928074125,0.48121908956244813,0.43705572808833687,1.0,0.03590298677951766,91,57,49,91,56,49,0,0,0,110,3.127614861935344
54,instruction,555,7,54,616,1410,7,-0.0031765333064745303,0.4816633165178577,0.4368554268554269,1.0,0.03569158146267394,93,57,49,93,56,49,0,0,0,110,3.1286875600074264
55,instruction,556,7,54,617,1412,7,-0.0030541829702223707,0.4816378781679862,0.43690904419321697,1.0,0.0355917511741644,94,57,49,94,56,49,0,0,0,110,3.1303532292183074
56,instruction,557,7,54,618,1414,7,-0.002960001805989704,0.4819361878570238,0.4373215354364368,1.0,0.03549555107796431,95,57,49,95,57,49,0,0,0,110,3.1325451201054144
