,label,entities,agents,activities,nodes,edges,diameter,assortativity,acc,acc_e,acc_a,acc_ag,mfd_e_e,mfd_e_a,mfd_e_ag,mfd_a_e,mfd_a_a,mfd_a_ag,mfd_ag_e,mfd_ag_a,mfd_ag_ag,mfd_der,powerlaw_alpha
21,requests,257,0,16,273,415,19,0.27166376230536404,0.3832980972515857,0.09707419017763845,0.9761904761904763,0,25,17,0,20,17,0,0,0,0,26,-1.0
20,commissives,291,0,20,311,493,20,0.21516741570165024,0.38319559228650146,0.09213759213759212,0.9814814814814815,0,28,20,0,22,20,0,0,0,0,29,-1.0
23,assertives,292,0,20,312,496,20,0.2274978349285729,0.3831955922865014,0.09213759213759214,0.9814814814814815,0,30,21,0,22,21,0,0,0,0,31,-1.0
25,instruction,259,0,18,277,439,19,0.2130045230773789,0.3818800247371676,0.09228650137741047,0.9791666666666666,0,26,18,0,20,16,0,0,0,0,27,-1.0
24,instruction,249,0,15,264,403,20,0.2704296446148747,0.3770454545454546,0.08945005611672278,0.9743589743589743,0,25,17,0,19,13,0,0,0,0,26,-1.0
27,assertives,294,0,22,316,487,20,0.2566002420953964,0.3805194805194806,0.09026629935720845,0.9791666666666667,0,31,18,0,28,18,0,0,0,0,32,-1.0
26,requests,296,0,21,317,498,19,0.21873035976652103,0.37837995337995345,0.08597402597402598,0.980392156862745,0,30,18,0,29,18,0,0,0,0,31,-1.0
29,assertives,275,0,23,298,470,19,0.21392715286333494,0.39318181818181824,0.10796536796536796,0.9803921568627452,0,28,18,0,25,17,0,0,0,0,29,-1.0
28,assertives,292,0,24,316,499,20,0.22146212487261388,0.3920110192837467,0.10524160524160524,0.9814814814814815,0,30,19,0,27,19,0,0,0,0,31,-1.0
14,assertives,280,0,20,300,464,20,0.16798678363066333,0.372909090909091,0.09741532976827093,0.9583333333333333,0,30,18,0,28,16,0,0,0,0,30,-1.0
15,assertives,303,0,22,325,513,21,0.17516835302642755,0.37159090909090914,0.09146730462519935,0.9629629629629629,0,32,19,0,28,18,0,0,0,0,33,-1.0
16,instruction,276,0,17,293,455,19,0.251908598263619,0.3828695114409401,0.09375573921028464,0.9791666666666667,0,27,18,0,23,16,0,0,0,0,28,-1.0
17,requests,288,0,21,309,487,20,0.25694496477399054,0.3853443526170799,0.09533169533169532,0.9814814814814815,0,29,19,0,26,19,0,0,0,0,30,-1.0
10,requests,295,0,21,316,498,20,0.2059313780852277,0.3690680388793597,0.08964646464646464,0.9607843137254901,0,32,19,0,29,17,0,0,0,0,33,-1.0
11,instruction,284,0,20,304,475,19,0.20887606677857673,0.36890909090909096,0.09153297682709446,0.9583333333333333,0,32,18,0,29,15,0,0,0,0,32,-1.0
12,commissives,289,0,22,311,494,19,0.1880589225283893,0.37442279942279943,0.09564061669324828,0.9629629629629629,0,31,18,0,31,18,0,0,0,0,32,-1.0
13,requests,290,0,21,311,486,19,0.1644425675595363,0.37158376214979993,0.09335016835016835,0.9607843137254901,0,30,19,0,29,18,0,0,0,0,31,-1.0
18,instruction,269,0,19,288,444,21,0.27114202889783195,0.38701298701298703,0.09990817263544537,0.9791666666666667,0,27,17,0,24,17,0,0,0,0,28,-1.0
19,instruction,278,0,19,297,465,22,0.20272565788199282,0.3828695114409401,0.09375573921028466,0.9791666666666667,0,27,18,0,22,17,0,0,0,0,28,-1.0
74,requests,206,0,12,218,348,16,0.2515842262243101,0.3920875420875421,0.08813131313131313,1.0,0,22,19,0,18,18,0,0,0,0,23,-1.0
75,requests,189,0,11,200,319,16,0.24117300354926105,0.393939393939394,0.09090909090909093,1.0,0,20,19,0,17,18,0,0,0,0,21,-1.0
72,assertives,232,0,14,246,398,18,0.24813280914836516,0.3907647907647908,0.08614718614718615,1.0,0,25,19,0,20,18,0,0,0,0,26,-1.0
73,requests,219,0,13,232,373,17,0.24977337412205902,0.3922299922299922,0.08834498834498834,1.0,0,24,19,0,19,18,0,0,0,0,25,-1.0
70,instruction,239,0,15,254,410,18,0.2460953650358132,0.39286195286195286,0.08929292929292929,1.0,0,25,17,0,19,16,0,0,0,0,26,-1.0
71,requests,247,0,15,262,425,19,0.2516303419517476,0.390976430976431,0.08646464646464645,1.0,0,27,19,0,21,19,0,0,0,0,28,-1.0
6,assertives,296,0,22,318,511,20,0.18551708683146279,0.36920995670995677,0.08795853269537479,0.9629629629629629,0,28,19,0,27,18,0,0,0,0,34,-1.0
7,instruction,281,0,21,302,484,19,0.1807827915813643,0.36906803887935974,0.08964646464646465,0.9607843137254901,0,27,18,0,25,16,0,0,0,0,32,-1.0
5,instruction,276,0,23,299,471,22,0.18696013614428333,0.37059483726150405,0.10843570843570842,0.9411764705882352,0,26,18,0,23,17,0,0,0,0,30,-1.0
8,requests,294,0,23,317,507,19,0.14395355225266163,0.3730354391371341,0.09189393939393939,0.9649122807017543,0,30,18,0,30,18,0,0,0,0,32,-1.0
9,requests,300,0,22,322,515,19,0.1927043836200068,0.36920995670995677,0.08795853269537479,0.9629629629629629,0,31,18,0,30,17,0,0,0,0,34,-1.0
69,instruction,244,0,14,258,403,20,0.28903790530900214,0.3927849927849928,0.08917748917748917,1.0,0,25,17,0,19,15,0,0,0,0,26,-1.0
68,instruction,235,0,12,247,370,20,0.3284290671832624,0.3925925925925926,0.0888888888888889,1.0,0,24,16,0,19,13,0,0,0,0,25,-1.0
65,assertives,201,0,7,208,274,22,0.3697586992459831,0.3900432900432901,0.08506493506493507,1.0,0,24,13,0,19,8,0,0,0,0,19,-1.0
64,instruction,195,0,4,199,241,22,0.4537093437076151,0.38838383838383844,0.08257575757575757,1.0,0,25,12,0,18,6,0,0,0,0,19,-1.0
66,instruction,216,0,9,225,315,21,0.37455042539184213,0.3921436588103255,0.08821548821548822,1.0,0,23,14,0,19,10,0,0,0,0,22,-1.0
61,instruction,184,0,3,187,196,36,0.11643536426475694,0.37823129251700677,0.19619047619047617,0.8333333333333333,0,25,9,0,18,0,0,0,0,0,18,-1.0
60,instruction,183,0,2,185,188,36,0.03945116743018458,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,18,1,0,8,0,0,0,0,0,18,-1.0
62,instruction,190,0,4,194,216,23,0.3349771789863447,0.3804040404040404,0.16248196248196248,0.8888888888888888,0,24,10,0,18,3,0,0,0,0,19,3.456869228825359
52,instruction,258,0,18,276,441,19,0.21954774131224172,0.3886827458256031,0.10238751147842055,0.9791666666666667,0,28,20,0,21,20,0,0,0,0,29,-1.0
57,assertives,253,0,16,269,418,19,0.27318258020604486,0.39268774703557324,0.10957966764418375,0.9777777777777779,0,25,23,0,18,16,0,0,0,0,26,-1.0
58,requests,276,0,18,294,470,20,0.25582989682276586,0.38877233877233885,0.10141414141414139,0.9803921568627452,0,31,28,0,30,28,0,0,0,0,29,-1.0
59,instruction,183,0,2,185,188,36,0.039451167430184585,0.35833333333333334,0.25555555555555554,0.6666666666666666,0,18,1,0,10,0,0,0,0,0,18,-1.0
50,assertives,284,0,20,304,491,19,0.21986387250362888,0.3868319559228652,0.09754299754299754,0.9814814814814815,0,32,20,0,23,20,0,0,0,0,33,-1.0
51,requests,286,0,20,306,493,20,0.22386763032578968,0.3880440771349864,0.09934479934479934,0.9814814814814815,0,32,21,0,22,21,0,0,0,0,33,-1.0
53,requests,287,0,20,307,494,19,0.22583815351482203,0.3892561983471075,0.10114660114660112,0.9814814814814815,0,31,23,0,22,23,0,0,0,0,32,-1.0
54,instruction,219,0,12,231,333,21,0.2917958233654933,0.38570730344923904,0.10905998763141621,0.9666666666666668,0,23,15,0,18,11,0,0,0,0,24,-1.0
55,instruction,233,0,14,247,368,20,0.2741694486598557,0.38877968877968877,0.10872727272727273,0.9722222222222223,0,25,18,0,18,12,0,0,0,0,26,-1.0
56,instruction,248,0,16,264,407,19,0.25248536716887343,0.38949964763918254,0.10626959247648902,0.9761904761904763,0,26,21,0,18,14,0,0,0,0,27,-1.0
46,instruction,254,0,20,274,415,21,0.2031132218786158,0.3717391304347826,0.11612903225806451,0.8999999999999999,0,28,16,0,27,13,0,0,0,0,29,-1.0
42,assertives,294,0,25,319,506,19,0.17359733538589778,0.37133237133237146,0.12931642001409446,0.8916666666666666,0,33,18,0,30,17,0,0,0,0,34,-1.0
49,requests,289,0,23,312,508,22,0.1789113464653623,0.3771982116244413,0.10997782705099782,0.925,0,34,19,0,23,19,0,0,0,0,35,3.920829939646792
48,instruction,266,0,23,289,463,22,0.1809496706114822,0.38699059561128546,0.12680652680652682,0.9210526315789473,0,31,18,0,23,16,0,0,0,0,32,-1.0
67,instruction,229,0,11,240,352,21,0.3447280873503531,0.3924701561065198,0.08870523415977963,1.0,0,23,15,0,19,12,0,0,0,0,24,-1.0
47,instruction,256,0,21,277,433,21,0.19708503405192748,0.3730983302411875,0.11460055096418731,0.9062499999999999,0,30,17,0,25,14,0,0,0,0,31,-1.0
45,instruction,251,0,20,271,396,22,0.2332489105415114,0.36900826446280993,0.13565656565656564,0.8690476190476188,0,30,15,0,28,12,0,0,0,0,31,-1.0
44,assertives,306,0,29,335,541,22,0.16091698234578183,0.380808080808081,0.13707285622179244,0.9015151515151515,0,37,21,0,32,21,0,0,0,0,38,3.931095837419882
43,requests,305,0,28,333,524,22,0.16983637641345709,0.3802112029384758,0.13912457912457918,0.8968253968253967,0,35,20,0,34,20,0,0,0,0,36,-1.0
41,directives(request),313,0,27,340,543,20,0.16613244744730282,0.3693296602387513,0.1231649831649832,0.8968253968253967,0,36,19,0,32,18,0,0,0,0,37,-1.0
40,instruction,297,0,27,324,521,19,0.15930680696076777,0.3716253443526172,0.12653198653198655,0.8968253968253967,0,34,18,0,33,17,0,0,0,0,35,3.878524808069123
32,requests,309,0,24,333,527,21,0.19867150695519595,0.37515151515151524,0.10997782705099785,0.9473684210526315,0,33,19,0,23,18,0,0,0,0,34,-1.0
33,requests,302,0,23,325,509,19,0.22863793499815738,0.37661520869068055,0.10075757575757575,0.9607843137254901,0,32,20,0,33,20,0,0,0,0,33,-1.0
30,requests,305,0,26,331,528,20,0.13738683370198032,0.376863876863877,0.11028893587033126,0.95,0,29,19,0,27,19,0,0,0,0,31,-1.0
31,instruction,287,0,24,311,492,20,0.14478950738047894,0.37823232323232336,0.11448632668144866,0.9473684210526315,0,26,18,0,24,17,0,0,0,0,28,-1.0
36,instruction,256,0,19,275,415,20,0.23855427275013358,0.3747967479674797,0.10833333333333332,0.9487179487179487,0,26,17,0,27,16,0,0,0,0,27,-1.0
37,instruction,266,0,23,289,456,19,0.1712451391554618,0.37748516915183594,0.11849186849186849,0.9411764705882352,0,26,18,0,25,18,0,0,0,0,27,3.9069956879439895
34,instruction,276,0,20,296,464,19,0.20629318067716124,0.376909090909091,0.1032976827094474,0.9583333333333333,0,29,18,0,19,17,0,0,0,0,30,-1.0
35,commissives,296,0,25,321,510,19,0.18148149661129634,0.37801948051948053,0.11417484954070321,0.9473684210526315,0,30,21,0,29,21,0,0,0,0,31,-1.0
38,requests,313,0,29,342,551,19,0.13123113487741353,0.36969696969696986,0.12076079948420373,0.9015151515151515,0,31,21,0,28,21,0,0,0,0,32,-1.0
39,instruction,255,0,21,276,417,20,0.15241092760030273,0.37185185185185177,0.12043010752688171,0.9285714285714285,0,24,17,0,25,14,0,0,0,0,25,-1.0
